test,output_sample,rtl_i_code,rtl_q_code,rtl_i_saturated,rtl_q_saturated,numpy_i,numpy_q
2,13,7,-14,7,-14,0.06064708825129009,-0.10158880397546409
2,14,13,-4,13,-4,0.10439656134895783,-0.029681338938753063
2,15,10,6,10,6,0.0807764434127747,0.0489731015030324
2,16,1,10,1,10,0.008248821161829619,0.07952247518187897
2,17,-8,5,-8,5,-0.057415611313114186,0.0417407460431098
2,18,-9,-5,-9,-5,-0.06517687371010812,-0.03274371366252376
2,19,-2,-11,-2,-11,-0.008371511111737187,-0.08408899166840945
2,20,9,-9,9,-9,0.0703125,-0.0703125
2,21,14,0,14,0,0.1123953227506278,0.0012811442847836321
2,22,11,10,11,10,0.08798789042411687,0.08193501151935521
2,23,1,15,1,15,0.01536157512293241,0.12041831393956864
2,24,-8,12,-8,12,-0.05796726671400876,0.10011652962969984
2,25,-13,5,-13,5,-0.09396658398418604,0.04497191610438009
2,26,-12,-1,-12,-1,-0.08915472727143708,-0.006870322224744332
2,27,-9,-5,-9,-5,-0.0671446607659672,-0.03561784312810293
2,28,-7,-7,-7,-7,-0.04971844555217913,-0.04971844555217913
2,29,-5,-9,-5,-9,-0.03561784312810293,-0.06714466076596722
2,30,-1,-12,-1,-12,-0.0068703222247443185,-0.0891547272714371
2,31,5,-12,5,-12,0.044971916104380096,-0.09396658398418606
2,32,12,-8,12,-8,0.10011652962969984,-0.057967266714008744
2,33,15,1,15,1,0.12041831393956867,0.015361575122932423
2,34,10,11,10,11,0.0819350115193552,0.08798789042411688
2,35,0,14,0,14,0.0012811442847836252,0.1123953227506278
2,36,-9,9,-9,9,-0.0703125,0.0703125
2,37,-11,-2,-11,-2,-0.08408899166840945,-0.00837151111173718
2,38,-5,-9,-5,-9,-0.03274371366252375,-0.06517687371010814
2,39,5,-8,5,-8,0.041740746043109775,-0.05741561131311419
2,40,10,1,10,1,0.07952247518187897,0.008248821161829633
2,41,6,10,6,10,0.048973101503032385,0.08077644341277469
