net,length_um
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[7\],359.52µm
core_X2_q\[2\],359.26µm
clknet_leaf_82_clk_regs,358.64µm
clknet_leaf_44_clk_regs,358.34µm
net95,358.14µm
clknet_leaf_13_clk_regs,358.03µm
_04362_,357.53µm
u_transform_scheduler_core.bf_X0_q\[10\],357.48µm
clknet_leaf_14_clk_regs,356.91µm
_02445_,356.87µm
u_transform_scheduler_core.bf_X0_q\[11\],356.59µm
_02537_,356.46µm
clknet_leaf_76_clk_regs,356.25µm
_04434_,356.21µm
_06082_,356.16µm
_02062_,355.8µm
_04479_,355.8µm
_04654_,355.14µm
net32,355.14µm
clknet_leaf_92_clk_regs,354.11µm
core_X2_i\[4\],353.51µm
_06117_,353.05µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_coefficient\[0\],352.89µm
clknet_leaf_93_clk_regs,352.38µm
core_X2_i\[8\],351.93µm
clknet_leaf_29_clk_regs,351.72µm
_03367_,351.27µm
clknet_leaf_21_clk_regs,351.26µm
_03893_,350.65µm
clknet_leaf_71_clk_regs,350.37µm
_05525_,350.18µm
_03409_,350.05µm
_04249_,350.05µm
clknet_leaf_89_clk_regs,349.84µm
_03306_,348.42µm
_03802_,347.81µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_coefficient\[2\],346.71µm
_05131_,346.28µm
clknet_leaf_47_clk_regs,345.92µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[14\],345.67µm
_04727_,345.26µm
_04914_,344.4µm
clknet_leaf_38_clk_regs,344.11µm
clknet_leaf_84_clk_regs,344.03µm
_04214_,343.99µm
_04392_,343.89µm
_05866_,343.84µm
clknet_leaf_56_clk_regs,343.68µm
clknet_leaf_49_clk_regs,343.47µm
_04142_,343.28µm
_02949_,343.12µm
_02317_,342.77µm
_05508_,342.72µm
_04158_,342.36µm
net114,341.49µm
clknet_leaf_73_clk_regs,340.78µm
_04708_,340.74µm
clknet_leaf_83_clk_regs,340.52µm
_04508_,340.12µm
_05815_,339.36µm
clknet_leaf_15_clk_regs,338.74µm
_05430_,338.34µm
_02594_,337.98µm
clknet_leaf_43_clk_regs,337.77µm
clknet_leaf_88_clk_regs,337.77µm
_04111_,337.73µm
clknet_leaf_6_clk_regs,337.36µm
clknet_leaf_50_clk_regs,336.96µm
u_transform_scheduler_core.rx_state\[11\],336.66µm
clknet_leaf_55_clk_regs,336.45µm
u_transform_scheduler_core.bf_X0_i\[6\],336.42µm
_04107_,336.11µm
net94,335.64µm
