_05529_,517.03µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[0\],516.57µm
u_core.core_X2_q\[12\],515.86µm
u_core.u_transform_scheduler_core.bf_X0_q\[3\],515.54µm
_00041_,515.18µm
_02550_,510.46µm
_05602_,508.53µm
dout_OE[6],508.11µm
u_core.u_transform_scheduler_core.bf_X0_i\[13\],507.06µm
_02404_,505.78µm
_07373_,505.68µm
u_core.core_X2_i\[14\],504.1µm
_06232_,503.08µm
_05651_,502.37µm
u_core.core_X2_i\[2\],501.45µm
_05569_,498.96µm
u_core.core_X2_i\[11\],497.96µm
_02594_,497.48µm
_04310_,496.21µm
dout_PDRV1[7],496.09µm
din[0],496.03µm
_03965_,493.2µm
dout_PU[7],489.02µm
_02517_,488.06µm
_05408_,485.82µm
dout_PDRV0[7],485.77µm
_04796_,485.06µm
_06117_,484.8µm
dout_IE[7],484.685µm
dout_CS[7],483.7µm
_02407_,479.05µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_gwen,477.41µm
u_core.u_transform_scheduler_core.fft128_block_inverse,476.76µm
u_core.u_transform_scheduler_core.bf_X0_q\[11\],476.66µm
_05125_,475.61µm
_02667_,475.08µm
_03977_,473.35µm
dout_PD[7],472.86µm
_04544_,472.84µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.macro_req,472.74µm
_04860_,471.72µm
_04550_,471.36µm
clknet_leaf_28_clk_regs,471.31µm
u_core.u_transform_scheduler_core.tx_output_busy,470.47µm
_04910_,470.04µm
_04307_,469.47µm
_04924_,468.42µm
_03964_,467.8µm
_05395_,464.8µm
u_core.u_transform_scheduler_core.bf_X0_q\[12\],463.93µm
_05402_,463.92µm
_04816_,463.88µm
u_core.core_X2_q\[10\],461.59µm
u_core.u_transform_scheduler_core.bf_X0_q\[8\],461.08µm
_03077_,460.67µm
_03916_,460.57µm
_04323_,460.22µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_gwen,459.93µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_input_q_reg\[2\],459.81µm
u_core.u_transform_scheduler_core.mod_diag_addr0\[1\],459.3µm
_04888_,457.32µm
_02608_,457.16µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_x0_i_reg\[9\],456.55µm
_04608_,454.82µm
u_core.u_transform_scheduler_core.mod_diag_addr0\[0\],454.21µm
_05358_,453.34µm
clknet_leaf_11_clk_regs,452.42µm
_05145_,452.02µm
_04223_,450.78µm
_05601_,449.73µm
u_core.core_X2_q\[9\],449.17µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[6\],446.98µm
_08769_,446.37µm
net47,445.4µm
u_core.top_state\[6\],445.25µm
clknet_leaf_63_clk_regs,445.14µm
_04308_,443.05µm
u_core.core_X2_i\[6\],442.55µm
dout_SL[7],439.84µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[13\],439.29µm
_04892_,438.89µm
_08239_,434.86µm
dout_OUT[7],434.7µm
clknet_leaf_51_clk_regs,433.99µm
_04583_,432.18µm
_05688_,431.91µm
_03486_,431.25µm
_04631_,430.13µm
_04614_,429.82µm
clknet_leaf_49_clk_regs,428.49µm
clknet_leaf_17_clk_regs,425.33µm
u_core.u_transform_scheduler_core.ofdm_fft_block_ready,424.68µm
_06896_,424.63µm
clknet_leaf_91_clk_regs,424.57µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_input_q_reg\[5\],424.53µm
_05958_,424.12µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_x0_i_reg\[4\],422.44µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_x0_q_reg\[6\],422.03µm
clknet_leaf_38_clk_regs,421.52µm
_01870_,421.42µm
clknet_leaf_44_clk_regs,421.31µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[1\],420.61µm
u_core.u_transform_scheduler_core.bf_X0_i\[12\],420.48µm
clknet_leaf_90_clk_regs,420.14µm
u_core.u_transform_scheduler_core.dft12_base\[3\],419.58µm
u_core.core_X2_i\[15\],419.21µm
_05404_,418.72µm
_05460_,418.37µm
clknet_leaf_37_clk_regs,418.31µm
u_core.u_transform_scheduler_core.bf_X0_i\[10\],417.1µm
din[1],416.65µm
u_core.u_transform_scheduler_core.bf_X0_i\[7\],415.01µm
_03026_,414.52µm
u_core.core_X2_q\[7\],414.5µm
u_core.u_transform_scheduler_core.bf_X0_i\[11\],414.21µm
