net,length_um
u_transform_scheduler_core.bf_X0_i\[9\],445.35µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[15\],445.35µm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_gwen,444.35µm
_08101_,443.5µm
net189,442.9µm
_04874_,442.55µm
core_X2_q\[12\],442.5µm
_08726_,440.77µm
u_transform_scheduler_core.bf_X0_i\[3\],440.65µm
u_transform_scheduler_core.u_fft128_modulo_controller.read_issue_count\[1\],440.51µm
clknet_leaf_14_clk_regs,440.4µm
_04492_,439.9µm
net14,438.63µm
_05461_,438.02µm
net98,436.69µm
u_transform_scheduler_core.bf_X0_i\[0\],436.44µm
_04984_,434.35µm
_04119_,430.23µm
u_transform_scheduler_core.bf_X0_i\[7\],429.21µm
net82,428.29µm
clknet_leaf_78_clk_regs,427.93µm
_04365_,427.58µm
clknet_leaf_90_clk_regs,427.17µm
clknet_leaf_15_clk_regs,424.8µm
_05183_,424.12µm
_08117_,423.51µm
u_transform_scheduler_core.bf_X0_i\[6\],423.43µm
_04221_,423.41µm
_04489_,422.84µm
_02773_,419.69µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[9\],419.69µm
_06330_,419.44µm
net77,418.93µm
core_X2_q\[7\],418.06µm
_04967_,417.96µm
_03907_,417.35µm
clknet_leaf_10_clk_regs,416.76µm
_03523_,416.13µm
_04558_,414.22µm
_04117_,414.09µm
clknet_leaf_3_clk_regs,413.14µm
_06307_,412.87µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[6\],411.9µm
net220,411.29µm
clknet_leaf_79_clk_regs,410.98µm
clknet_leaf_95_clk_regs,410.62µm
clknet_leaf_52_clk_regs,410.58µm
_00406_,409.92µm
_02995_,409.71µm
clknet_leaf_83_clk_regs,408.89µm
clknet_leaf_32_clk_regs,408.74µm
_08812_,408.44µm
_02608_,407.29µm
u_transform_scheduler_core.bf_X0_i\[13\],406.66µm
clknet_leaf_19_clk_regs,406.19µm
clknet_leaf_80_clk_regs,405.99µm
net150,405.79µm
_04660_,405.28µm
_08110_,404.62µm
clknet_leaf_12_clk_regs,403.39µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_coefficient\[4\],402.99µm
_03883_,402.79µm
clknet_leaf_60_clk_regs,402.68µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_x0_q_reg\[4\],401.77µm
_04115_,401.67µm
_04587_,401.57µm
core_X2_i\[2\],401.11µm
clknet_leaf_39_clk_regs,400.19µm
_04597_,398.31µm
_06260_,398.26µm
_04961_,397.7µm
clknet_leaf_68_clk_regs,397.54µm
_04277_,396.78µm
u_transform_scheduler_core.u_fft128_modulo_controller.fetch_j\[0\],396.73µm
u_transform_scheduler_core.bf_X0_i\[5\],396.47µm
net63,393.11µm
clknet_leaf_92_clk_regs,393.11µm
core_X2_q\[9\],392.66µm
clknet_leaf_51_clk_regs,392.45µm
_08733_,391.9µm
_04782_,391.15µm
clknet_leaf_75_clk_regs,390.36µm
_03648_,389.75µm
clknet_leaf_91_clk_regs,389.75µm
_05439_,389.3µm
_04155_,389.25µm
core_X2_i\[3\],388.89µm
_07369_,388.64µm
_02614_,388.23µm
_03394_,387.77µm
net73,387.77µm
u_transform_scheduler_core.bf_X0_i\[10\],387.72µm
_06366_,387.67µm
clknet_leaf_87_clk_regs,387.51µm
_04048_,387.06µm
net75,387.03µm
_05397_,387.01µm
clknet_leaf_5_clk_regs,386.9µm
clknet_leaf_77_clk_regs,386.8µm
_02570_,386.77µm
clknet_leaf_48_clk_regs,386.34µm
u_transform_scheduler_core.u_fft128_modulo_controller.fetch_j\[4\],386.04µm
clknet_leaf_69_clk_regs,385.93µm
clknet_leaf_21_clk_regs,385.47µm
_05969_,385.33µm
_05998_,383.82µm
clknet_leaf_11_clk_regs,383.59µm
u_transform_scheduler_core.dft12_base\[2\],383.39µm
_02259_,383.24µm
_02886_,383.19µm
_02869_,382.58µm
net161,382.37µm
_02584_,382.17µm
clknet_leaf_44_clk_regs,381.3µm
u_transform_scheduler_core.u_fft128_modulo_controller.fetch_stage\[0\],380.95µm
_03543_,380.29µm
net118,378.25µm
_05417_,377.03µm
clknet_leaf_16_clk_regs,376.92µm
_03464_,376.88µm
clknet_leaf_47_clk_regs,376.51µm
_05001_,376.11µm
clknet_leaf_30_clk_regs,376.03µm
_02443_,375.4µm
clknet_leaf_70_clk_regs,375.14µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_x0_i_reg\[3\],372.55µm
clknet_leaf_53_clk_regs,372.44µm
