net,length_um
_06664_,359.06µm
top_state\[2\],358.66µm
_03423_,358.45µm
net157,358.39µm
_02918_,358.09µm
clknet_leaf_63_clk_regs,357.83µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_coefficient\[3\],357.58µm
_06030_,357.33µm
clknet_leaf_54_clk_regs,357.12µm
clknet_leaf_74_clk_regs,357.07µm
clknet_leaf_11_clk_regs,356.66µm
_06535_,355.65µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[11\],355.65µm
_06520_,355.6µm
core_X2_q\[5\],355.29µm
_06318_,354.73µm
clknet_leaf_78_clk_regs,354.01µm
_03399_,353.36µm
_02448_,353.1µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[5\],352.85µm
_06940_,352.44µm
_06933_,352.24µm
clknet_leaf_30_clk_regs,352.1µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[6\],350.2µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[13\],350.15µm
_04521_,350.1µm
_05179_,350µm
_04258_,349.59µm
u_transform_scheduler_core.bf_X0_q\[4\],349.59µm
_04310_,349.54µm
clknet_leaf_41_clk_regs,349.38µm
net213,348.98µm
clknet_leaf_70_clk_regs,348.92µm
_06322_,348.88µm
clknet_leaf_14_clk_regs,348.87µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_operand\[4\],348.11µm
clknet_leaf_57_clk_regs,348.1µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[0\],347.81µm
clknet_leaf_36_clk_regs,347.34µm
_04634_,347.2µm
clknet_leaf_49_clk_regs,346.99µm
clknet_leaf_80_clk_regs,346.48µm
_04605_,345.92µm
clknet_leaf_38_clk_regs,345.84µm
_03481_,345.57µm
_03210_,344.86µm
clknet_leaf_89_clk_regs,344.57µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[0\],344.55µm
_06103_,344.39µm
_04688_,343.89µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[13\],343.33µm
clknet_leaf_15_clk_regs,342.61µm
_05155_,342.21µm
clknet_leaf_7_clk_regs,341.74µm
net87,341.29µm
_06362_,341.04µm
_06040_,340.68µm
clknet_leaf_43_clk_regs,340.52µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[14\],339.56µm
clknet_leaf_16_clk_regs,339.35µm
clknet_leaf_85_clk_regs,339.35µm
net154,338.49µm
_06953_,338.42µm
clknet_leaf_1_clk_regs,338.08µm
clknet_leaf_34_clk_regs,337.57µm
_02904_,335.58µm
_05597_,335.49µm
clknet_leaf_18_clk_regs,335.43µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[12\],335.36µm
_06000_,334.88µm
_04833_,334.82µm
clknet_leaf_0_clk_regs,334.82µm
clknet_leaf_44_clk_regs,334.82µm
clknet_leaf_86_clk_regs,334.82µm
top_state\[5\],334.57µm
clknet_leaf_53_clk_regs,334.36µm
_04334_,334.06µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_operand\[2\],334.06µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[7\],333.86µm
_02230_,332.69µm
_04199_,332.69µm
clknet_leaf_69_clk_regs,332.17µm
_05379_,332.08µm
_02750_,331.62µm
_07948_,331.57µm
_04755_,329.89µm
_06539_,328.38µm
clknet_leaf_72_clk_regs,328.3µm
_06947_,326.86µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_coefficient\[4\],326.78µm
_05000_,326.29µm
_04583_,326.27µm
u_transform_scheduler_core.dft12_base\[2\],326.27µm
_06584_,325.97µm
_02559_,325.41µm
_06954_,325.36µm
clknet_leaf_94_clk_regs,325.15µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[11\],325µm
_04756_,324.24µm
clknet_leaf_22_clk_regs,324.18µm
clknet_leaf_8_clk_regs,324.03µm
_04087_,323.83µm
_06961_,322.86µm
u_transform_scheduler_core.bf_X0_q\[0\],322.81µm
_06587_,322.56µm
_06603_,320.88µm
_06991_,320.88µm
clknet_leaf_81_clk_regs,320.87µm
_05369_,320.65µm
_06485_,320.32µm
u_transform_scheduler_core.u_fdiq_output_adapter.sample_i_reg\[1\],319.86µm
_06960_,319.4µm
_06339_,318.13µm
net153,318.12µm
_02516_,317.72µm
_05125_,317.52µm
_05429_,317.34µm
_04408_,317.16µm
_06843_,316.96µm
_05661_,316.4µm
_03841_,316.14µm
_03538_,315.33µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_operand\[1\],315.02µm
_04691_,314.82µm
_04074_,314.16µm
