test,bin,rtl_i_code,rtl_q_code,rtl_i_saturated,rtl_q_saturated,numpy_i,numpy_q
1,56,0,0,0,0,0.0,0.0
1,57,0,0,0,0,0.0,0.0
1,58,0,0,0,0,0.0,0.0
1,59,-14,0,-14,0,-0.1058823006346851,-9.807971317645102e-17
1,60,0,0,0,0,0.0,0.0
1,61,0,0,0,0,0.0,0.0
1,62,0,0,0,0,0.0,0.0
1,63,10,-2,10,-2,0.077627210830954,4.019402470767952e-16
1,64,0,0,0,0,0.0,0.0
1,65,0,0,0,0,0.0,0.0
1,66,0,0,0,0,0.0,0.0
1,67,22,2,22,2,0.16637561886372484,9.540979117872439e-17
1,68,0,0,0,0,0.0,0.0
1,69,0,0,0,0,0.0,0.0
1,70,0,0,0,0,0.0,0.0
1,71,-12,-6,-12,-6,-0.05199895096927065,9.524207825395989e-18
1,72,0,0,0,0,0.0,0.0
1,73,0,0,0,0,0.0,0.0
1,74,0,0,0,0,0.0,0.0
1,75,4,-1,4,-1,0.03204173105552682,-2.3592239273284576e-16
1,76,0,0,0,0,0.0,0.0
1,77,0,0,0,0,0.0,0.0
1,78,0,0,0,0,0.0,0.0
1,79,-11,-2,-11,-2,-0.0873390820542163,-9.334812992175428e-16
1,80,0,0,0,0,0.0,0.0
1,81,0,0,0,0,0.0,0.0
1,82,0,0,0,0,0.0,0.0
1,83,-10,-2,-10,-2,-0.08440609095262838,1.008605276099135e-16
1,84,0,0,0,0,0.0,0.0
1,85,0,0,0,0,0.0,0.0
1,86,0,0,0,0,0.0,0.0
1,87,3,0,3,0,0.016852105910490994,-6.185127756481141e-16
1,88,0,0,0,0,0.0,0.0
1,89,0,0,0,0,0.0,0.0
1,90,0,0,0,0,0.0,0.0
1,91,3,-1,3,-1,0.03338463750115334,3.21952411106863e-16
1,92,0,0,0,0,0.0,0.0
1,93,0,0,0,0,0.0,0.0
1,94,0,0,0,0,0.0,0.0
1,95,0,0,0,0,-0.02049880355829092,3.7292361910382215e-17
1,96,0,0,0,0,0.0,0.0
1,97,0,0,0,0,0.0,0.0
1,98,0,0,0,0,0.0,0.0
1,99,-2,4,-2,4,-0.05280145110938252,-3.937822290467352e-16
1,100,0,0,0,0,0.0,0.0
1,101,0,0,0,0,0.0,0.0
1,102,0,0,0,0,0.0,0.0
1,103,-4,-2,-4,-2,-0.031148202979424555,2.315688127504273e-16
1,104,0,0,0,0,0.0,0.0
1,105,0,0,0,0,0.0,0.0
1,106,0,0,0,0,0.0,0.0
1,107,5,0,5,0,0.01860108598745921,3.382710778154774e-16
1,108,0,0,0,0,0.0,0.0
1,109,0,0,0,0,0.0,0.0
1,110,0,0,0,0,0.0,0.0
1,111,6,0,6,0,0.012537080822904612,6.477191491353168e-16
1,112,0,0,0,0,0.0,0.0
1,113,0,0,0,0,0.0,0.0
1,114,0,0,0,0,0.0,0.0
1,115,-4,3,-4,3,-0.04782365418908761,1.7698409858775327e-16
1,116,0,0,0,0,0.0,0.0
1,117,0,0,0,0,0.0,0.0
1,118,0,0,0,0,0.0,0.0
1,119,20,-3,20,-3,0.1473951357052856,9.524207825395964e-18
1,120,0,0,0,0,0.0,0.0
1,121,0,0,0,0,0.0,0.0
1,122,0,0,0,0,0.0,0.0
1,123,2,2,2,2,-0.02757075343548656,1.5706031135966246e-16
1,124,0,0,0,0,0.0,0.0
1,125,0,0,0,0,0.0,0.0
1,126,0,0,0,0,0.0,0.0
1,127,8,18,8,18,-0.04398138703624496,-7.952552526695833e-16
2,0,-10,42,-10,42,-0.078125,0.328125
2,1,-161,51,-128,51,-1.1448600583456665,0.47374123968977266
2,2,12,-109,12,-109,0.15412419350699968,-0.7931806101897814
2,3,-91,-61,-91,-61,-0.5748953271861298,-0.4647323927011854
2,4,-61,134,-61,127,-0.43901556663412183,1.0700343642196473
2,5,45,125,45,125,0.4117103600694658,1.01475502321196
