test,output_sample,rtl_i_code,rtl_q_code,rtl_i_saturated,rtl_q_saturated,numpy_i,numpy_q
2,35,-4,2,-4,2,-0.028707805656557093,0.0208703730215549
2,36,-5,0,-5,0,-0.03513369572110191,0.00274532939344111
2,37,-5,-3,-5,-3,-0.03258843685505406,-0.01637185683126188
2,38,-3,-5,-3,-5,-0.021543485642947845,-0.032440569892475235
2,39,-1,-6,-1,-6,-0.0041857555558685935,-0.04204449583420473
2,40,2,-6,2,-6,0.016042155875811488,-0.04307890734058522
2,41,4,-5,4,-5,0.03515625,-0.03515625
2,42,5,-3,5,-3,0.049443621088111435,-0.019647721678166728
2,43,7,0,7,0,0.0561976613753139,0.0006405721423918161
2,44,6,2,6,2,0.05422075429017032,0.022078159159189564
2,45,5,5,5,5,0.04399394521205843,0.04096750575967761
2,46,3,6,3,6,0.02748931297466357,0.05427957184733062
2,47,0,7,0,7,0.007680787561466205,0.06020915696978432
2,48,-2,7,-2,7,-0.012125426865464112,0.05843730782121721
2,49,-4,6,-4,6,-0.02898363335700438,0.05005826481484992
2,50,-6,4,-6,4,-0.04086853007961083,0.037206390450932235
2,51,-7,2,-7,2,-0.04698329199209302,0.022485958052190044
2,52,-7,1,-7,1,-0.04776074338194326,0.008348039731368467
2,53,-6,-1,-6,-1,-0.04457736363571854,-0.003435161112372166
2,54,-5,-2,-5,-2,-0.03926778195778379,-0.012078045805413017
2,55,-5,-3,-5,-3,-0.0335723303829836,-0.017808921564051464
2,56,-4,-3,-4,-3,-0.028661768920755924,-0.021626026483452694
2,57,-4,-4,-4,-4,-0.024859222776089564,-0.024859222776089564
2,58,-3,-4,-3,-4,-0.021626026483452694,-0.028661768920755927
2,59,-3,-5,-3,-5,-0.017808921564051464,-0.03357233038298361
2,60,-2,-5,-2,-5,-0.012078045805413011,-0.03926778195778379
2,61,-1,-6,-1,-6,-0.0034351611123721593,-0.04457736363571855
2,62,1,-7,1,-7,0.008348039731368467,-0.04776074338194326
2,63,2,-6,2,-6,0.022485958052190048,-0.04698329199209303
2,64,4,-6,4,-6,0.03720639045093224,-0.040868530079610825
2,65,6,-4,6,-4,0.05005826481484992,-0.028983633357004372
2,66,7,-2,7,-2,0.05843730782121721,-0.012125426865464119
2,67,7,0,7,0,0.060209156969784336,0.007680787561466212
2,68,6,3,6,3,0.054279571847330635,0.02748931297466357
2,69,5,5,5,5,0.0409675057596776,0.04399394521205844
2,70,2,6,2,6,0.02207815915918957,0.054220754290170314
2,71,0,7,0,7,0.0006405721423918126,0.0561976613753139
2,72,-3,6,-3,6,-0.019647721678166728,0.04944362108811144
2,73,-5,4,-5,4,-0.03515625,0.03515625
2,74,-6,2,-6,2,-0.04307890734058521,0.016042155875811488
2,75,-6,-1,-6,-1,-0.04204449583420473,-0.00418575555586859
2,76,-5,-3,-5,-3,-0.03244056989247524,-0.021543485642947852
2,77,-3,-5,-3,-5,-0.016371856831261876,-0.03258843685505407
2,78,0,-5,0,-5,0.002745329393441108,-0.0351336957211019
2,79,2,-4,2,-4,0.020870373021554887,-0.028707805656557096
2,80,4,-2,4,-2,0.03416189599176833,-0.014658362679241844
2,81,5,0,5,0,0.03976123759093948,0.0041244105809148165
2,82,4,3,4,3,0.036368091614841634,0.023804565261504134
2,83,3,5,3,5,0.024486550751516192,0.040388221706387346
2,84,0,6,0,6,0.006292834924890835,0.05053186627372604
2,85,-2,6,-2,6,-0.014840669469376542,0.0521982806744789
2,86,-5,5,-5,5,-0.035055726899719516,0.045023391447341854
2,87,-7,3,-7,3,-0.05079440198773204,0.03032354412564503
