net,length_um
u_transform_scheduler_core.u_mixed_radix_butterfly.x0_i_ext\[5\],333.3µm
net1505,332.97µm
net512,332.69µm
_03463_,332.49µm
net619,332.48µm
net1179,331.87µm
net1329,331.26µm
net886,331.16µm
net141,330.7µm
net118,330.5µm
net1290,330.29µm
net447,330.14µm
net1168,330.13µm
net83,329.89µm
net924,329.86µm
_08142_,329.84µm
_03225_,329.17µm
net1160,328.56µm
net820,328.31µm
net1208,328.21µm
_05839_,327.75µm
_02708_,327.65µm
net367,327.29µm
net634,327.09µm
_03659_,326.55µm
_09376_,326.07µm
_06050_,325.97µm
net1202,325.97µm
_03508_,325.76µm
net1157,325.71µm
net480,325.05µm
_05723_,324.44µm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_addr\[3\],324.15µm
net575,323.93µm
u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_x0_q_reg\[1\],323.78µm
net1112,323.78µm
net826,323.52µm
net12,323.32µm
_05890_,323.22µm
net1133,322.88µm
net548,322.76µm
net1372,322.76µm
_09381_,322.3µm
_04133_,321.44µm
net1025,321.43µm
net1509,321.08µm
net558,321.03µm
net1124,321.03µm
net119,320.93µm
_04207_,320.57µm
_06180_,320.42µm
net14,319.86µm
u_transform_scheduler_core.bf_X0_q\[0\],319.3µm
clknet_6_4_0_clk_regs,319.3µm
net1341,319.06µm
_04963_,318.89µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[2\],318.69µm
net1561,318.69µm
_08419_,318.13µm
net1173,317.77µm
_06638_,317.62µm
_07599_,317.62µm
_08084_,317.62µm
net419,317.41µm
net151,317.21µm
net1143,317.21µm
net202,316.75µm
net459,316.65µm
net711,316.55µm
_08750_,316.04µm
net1033,315.99µm
_08022_,315.38µm
net1178,315.38µm
net1154,315.35µm
_05753_,315.15µm
_03674_,315.12µm
net334,314.82µm
net618,314.46µm
net663,314.45µm
net125,314.36µm
net1235,313.8µm
net1474,313.8µm
_04627_,313.75µm
_07897_,313.7µm
net1370,313.34µm
net398,313.29µm
_07622_,312.73µm
_02627_,311.97µm
_04434_,311.97µm
net1267,311.15µm
net161,311.1µm
net769,310.8µm
net1098,310.49µm
net593,310.03µm
net483,309.42µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[15\],309.27µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[0\],309.17µm
net150,308.71µm
net1013,308.25µm
net1167,308.15µm
_04961_,308.1µm
net1317,307.79µm
net1263,307.74µm
_05636_,307.44µm
net1014,307.18µm
net323,307.03µm
_06304_,306.98µm
net378,306.93µm
net500,306.67µm
clknet_6_47_0_clk_regs,306.47µm
net1279,306.32µm
_03209_,306.09µm
net621,306.06µm
net915,305.96µm
net357,305.86µm
_05930_,305.81µm
_02713_,305.3µm
_03234_,305.25µm
net1015,305.25µm
net1296,304.89µm
_05351_,304.74µm
net1581,304.69µm
net426,304.64µm
_06571_,304.08µm
net79,303.87µm
net608,303.72µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[5\],303.52µm
net171,302.8µm
net1206,302.55µm
net326,302.24µm
net810,302.04µm
_05438_,301.94µm
_08180_,301.89µm
net1108,301.89µm
net882,301.53µm
net898,301.53µm
clknet_6_3_0_clk_regs,300.87µm
net1315,300.41µm
net314,300.36µm
net921,300.31µm
net1488,300.26µm
_05775_,300.21µm
net1367,299.48µm
u_transform_scheduler_core.mod_diag_addr1\[4\],299.29µm
net835,299.24µm
_08226_,299.14µm
net693,299.14µm
_06021_,298.63µm
_04397_,298.48µm
net946,298.48µm
_03689_,297.97µm
net405,297.46µm
net1207,297.25µm
clknet_6_40_0_clk_regs,297.15µm
net251,296.65µm
