net,length_um
clknet_leaf_15_clk_regs,422.38µm
_03919_,420.25µm
_02206_,420µm
_02887_,419.54µm
_03611_,419.54µm
clknet_leaf_54_clk_regs,419.53µm
clknet_leaf_45_clk_regs,419.38µm
_02215_,418.32µm
_08599_,418.16µm
_03743_,417.96µm
net128,416.74µm
_04660_,416.56µm
_04294_,413.43µm
_04783_,413.38µm
_02211_,412.96µm
clknet_leaf_1_clk_regs,412.4µm
_02553_,412.36µm
net159,412.2µm
clknet_leaf_16_clk_regs,411.89µm
clknet_leaf_78_clk_regs,411.79µm
clknet_leaf_20_clk_regs,411.69µm
clknet_leaf_63_clk_regs,410.88µm
clknet_leaf_81_clk_regs,410.47µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[9\],408.39µm
clknet_leaf_8_clk_regs,407.75µm
_02217_,407.12µm
_06806_,406.71µm
_06638_,406.15µm
