net,length_um
_2760_,93.52µm
u_core.re_q_hi\[7\],93.38µm
_0282_,93.01µm
_1483_,92.96µm
fdiq_busy,92.6µm
_0628_,92.5µm
_2709_,92.45µm
u_core.im_d\[10\],92.26µm
_3923_,92.09µm
net197,92.09µm
net169,91.99µm
net235,91.99µm
_0638_,91.94µm
_2827_,91.89µm
net75,91.75µm
net61,91.43µm
_1612_,91.33µm
_2826_,91.33µm
_3994_,91.28µm
clknet_5_12__leaf_clk_i_regs,90.97µm
_4043_,90.21µm
_0693_,90.16µm
_0467_,89.7µm
_3546_,89.7µm
_2248_,89.65µm
_2467_,89.65µm
_0545_,89.6µm
_1426_,89.14µm
_3113_,89.04µm
_2480_,88.63µm
u_core.im_q_lo\[0\],88.34µm
_3899_,87.97µm
_1660_,87.92µm
clknet_4_15_0_clk_i_regs,87.92µm
_3648_,87.51µm
net325,87.46µm
_3108_,87.41µm
net85,87.41µm
_0658_,87.36µm
_2097_,87µm
_2342_,86.95µm
_0633_,86.85µm
_3907_,86.85µm
_2662_,86.44µm
_0415_,86.24µm
u_core.state\[5\],86.24µm
_3808_,85.78µm
net63,85.73µm
_0392_,85.22µm
_0585_,85.17µm
_1204_,85.17µm
net199,84.86µm
_2762_,84.76µm
net118,84.76µm
_2723_,84.66µm
_1393_,84.61µm
_0772_,84.05µm
_2350_,84.05µm
net27,84.05µm
_0223_,83.44µm
_1662_,83.44µm
_1143_,83.03µm
_3050_,83.03µm
_2354_,82.42µm
_0015_,82.37µm
_1616_,82.32µm
net395,81.91µm
_3164_,81.86µm
clknet_4_5_0_clk_i_regs,81.86µm
_2703_,81.76µm
u_core.im_q_lo\[1\],81.67µm
_0761_,81.25µm
_1388_,81.2µm
_1664_,81.2µm
_0428_,80.79µm
_2710_,80.74µm
_0576_,80.69µm
_3398_,80.69µm
_3637_,80.69µm
_1048_,80.64µm
_4139_,80.64µm
net240,80.43µm
net225,80.23µm
_1470_,80.18µm
_3782_,80.13µm
net5,80.08µm
clknet_4_12_0_clk_i_regs,80.08µm
_1420_,79.11µm
_0691_,79.01µm
_1028_,79.01µm
_2815_,78.96µm
_0938_,78.55µm
_1918_,78.45µm
_1919_,78.4µm
_2757_,78.4µm
_3604_,78.4µm
_1497_,78.04µm
_0956_,77.99µm
_4136_,77.94µm
_0290_,77.89µm
net137,77.53µm
_3175_,77.43µm
u_core.topi\[6\],77.38µm
_2527_,77.28µm
_3997_,77.28µm
_0700_,76.82µm
_3112_,76.82µm
_1697_,76.72µm
_0490_,76.21µm
net381,75.8µm
u_sch.grp\[5\],75.75µm
_3430_,75.7µm
_0523_,75.65µm
_2756_,75.65µm
_3088_,75.6µm
_4150_,75.14µm
net429,75.09µm
_0968_,75.04µm
_2259_,75.04µm
clknet_4_4_0_clk_i_regs,75.04µm
_1622_,74.58µm
tw_im\[0\],74.53µm
_4058_,74.07µm
_1570_,74.02µm
_3434_,74.02µm
_1210_,73.97µm
_3261_,73.97µm
_3427_,73.97µm
_4087_,73.97µm
tw_im\[4\],73.97µm
u_core.im_d\[7\],73.97µm
tw_im\[1\],73.92µm
_0557_,73.46µm
_0636_,73.46µm
_1402_,73.46µm
_1224_,73.41µm
_1286_,73.36µm
_3257_,72.9µm
_3963_,72.85µm
_0431_,72.8µm
_3750_,71.73µm
_3231_,71.47µm
_3851_,71.32µm
_1572_,71.27µm
u_core.topi\[15\],71.17µm
_4117_,70.71µm
_3267_,70.66µm
_3825_,70.66µm
clknet_4_11_0_clk_i_regs,70.61µm
_3992_,70.56µm
_4063_,70.56µm
net205,70.5µm
_4156_,70.25µm
_4164_,69.59µm
_0991_,69.54µm
_1468_,69.49µm
_2833_,69.49µm
_1060_,69.44µm
_2746_,69.44µm
u_tw.base_im\[0\],69.44µm
_3676_,68.98µm
_4118_,68.98µm
_3605_,68.93µm
_0704_,68.88µm
_1032_,68.88µm
_3229_,68.47µm
_0992_,68.37µm
clknet_5_8__leaf_clk_i_regs,67.91µm
_3597_,67.76µm
sch_done,67.76µm
tw_re\[7\],67.76µm
_3832_,67.3µm
_2926_,67.25µm
u_core.botr\[12\],67.2µm
_3725_,66.84µm
_3268_,66.79µm
u_fdiq.I_byte\[6\],66.74µm
_1176_,66.69µm
_1479_,66.64µm
_1496_,66.64µm
_3635_,66.18µm
net99,66.18µm
_1395_,66.13µm
_2561_,66.13µm
_3751_,66.13µm
_3717_,65.67µm
_3431_,65.57µm
_2747_,65.16µm
u_fdiq.expect_I,65.11µm
_1305_,65.06µm
_1419_,65.06µm
_4155_,65.01µm
_1624_,64.96µm
_1487_,64.5µm
_2829_,64.5µm
_2860_,64.45µm
_3365_,64.45µm
_1318_,64.4µm
_3100_,63.99µm
_1353_,63.94µm
_1208_,63.89µm
_3058_,63.89µm
u_fdiq.sample_count\[0\],63.89µm
net37,63.89µm
_2270_,63.84µm
_1024_,63.38µm
_3048_,63.38µm
_3078_,63.38µm
net39,63.38µm
net317,63.38µm
_2853_,63.28µm
_1415_,62.72µm
net167,62.36µm
_0975_,62.31µm
_2791_,62.31µm
_0874_,62.26µm
_0960_,62.26µm
_4077_,62.26µm
_0470_,62.21µm
_0825_,62.21µm
_3728_,62.21µm
net6,62.16µm
_1408_,61.7µm
_3854_,61.65µm
_2277_,61.6µm
_3333_,61.6µm
_3344_,61.6µm
_3543_,61.6µm
_3754_,61.6µm
_2482_,61.19µm
_3762_,61.09µm
_0773_,61.04µm
_3847_,61.04µm
net8,61.04µm
net112,60.73µm
_0703_,60.58µm
_3142_,60.58µm
_2764_,60.53µm
_3747_,60.53µm
net100,60.53µm
_2503_,60.12µm
_3638_,60.07µm
_1066_,60.02µm
_1099_,60.02µm
_2337_,60.02µm
_1474_,59.97µm
_1565_,59.97µm
_2351_,59.97µm
_3034_,59.97µm
_1372_,59.66µm
_3116_,59.51µm
_2708_,59.46µm
_2742_,59.46µm
_1364_,59.41µm
_3975_,59.41µm
u_core.topi\[12\],59.41µm
_3260_,59.36µm
_0329_,59.23µm
_0330_,58.9µm
_1091_,58.9µm
_3983_,58.9µm
fdiq_fd_in_data\[5\],58.9µm
_3375_,58.85µm
_1650_,58.8µm
_2281_,58.44µm
_2320_,58.39µm
_3618_,58.34µm
_1462_,58.24µm
_3611_,58.24µm
net419,57.83µm
_3044_,57.78µm
_3722_,57.78µm
_1544_,57.73µm
_2261_,57.73µm
_2451_,57.68µm
_3185_,57.68µm
_3191_,57.68µm
_3884_,57.68µm
_2686_,57.27µm
_3107_,57.27µm
net98,57.22µm
_4100_,57.17µm
fdiq_fd_in_data\[2\],57.17µm
_2513_,57.12µm
_3797_,57.12µm
_4003_,56.66µm
_2258_,56.61µm
_2269_,56.61µm
_2859_,56.61µm
_3210_,56.61µm
_3351_,56.56µm
_2322_,56.1µm
_3888_,56.1µm
net86,56.05µm
_2820_,55.59µm
_0709_,55.54µm
_1413_,55.54µm
_2249_,55.49µm
_3059_,55.49µm
_3708_,55.49µm
_0562_,55.44µm
_1889_,55.44µm
_2755_,55.44µm
net126,55.03µm
_2352_,54.98µm
_3757_,54.98µm
u_core.topi\[4\],54.98µm
_1611_,54.88µm
_4113_,54.88µm
_1684_,54.67µm
fdiq_fd_in_data\[8\],54.47µm
_2737_,54.42µm
_2749_,54.42µm
_0745_,54.37µm
_1004_,54.37µm
_1422_,54.37µm
_2803_,53.96µm
_0348_,53.91µm
_3183_,53.91µm
_4067_,53.91µm
_0922_,53.86µm
_2331_,53.86µm
_3097_,53.86µm
net97,53.81µm
_0890_,53.76µm
_1207_,53.76µm
_1625_,53.76µm
_0164_,53.3µm
_2065_,53.3µm
_0295_,53.25µm
_2932_,53.25µm
_3957_,53.25µm
_0512_,53.2µm
u_core.topi\[2\],52.84µm
_2445_,52.74µm
_2477_,52.74µm
_4129_,52.74µm
_0230_,52.69µm
_0365_,52.69µm
_0375_,52.69µm
clknet_4_7_0_clk_i_regs,52.64µm
_1017_,52.18µm
_2401_,52.18µm
_2356_,52.13µm
_3068_,52.13µm
_3148_,52.13µm
_0847_,52.08µm
_0160_,51.62µm
_4160_,51.52µm
u_core.re_q_hi\[6\],51.48µm
u_core.topr\[5\],51.11µm
_0276_,51.06µm
_1368_,51.06µm
_0941_,51.01µm
_1596_,51.01µm
_4092_,51.01µm
_0466_,50.6µm
_3258_,50.6µm
_2687_,50.55µm
_1589_,50.5µm
_2748_,50.5µm
_1490_,49.99µm
_0589_,49.94µm
_0918_,49.94µm
_0335_,49.89µm
_0305_,49.84µm
net57,49.84µm
_0728_,49.43µm
net143,49.38µm
_0508_,49.33µm
_1260_,49.33µm
_2238_,49.33µm
_2958_,49.33µm
_2784_,49.28µm
_3338_,49.28µm
_3758_,49.28µm
u_sch.stage\[0\],48.92µm
_1831_,48.82µm
_3723_,48.82µm
_0563_,48.77µm
_1475_,48.77µm
_1932_,48.77µm
_3005_,48.77µm
_3607_,48.77µm
_3312_,48.26µm
_3317_,48.26µm
_0355_,48.21µm
_0676_,48.21µm
_2672_,48.21µm
_2767_,48.21µm
_3026_,48.21µm
_1152_,48.16µm
_1562_,48.16µm
_1849_,48.16µm
_2560_,48.16µm
u_sch.grp\[1\],47.85µm
_2969_,47.7µm
net92,47.7µm
_1116_,47.65µm
_3307_,47.65µm
u_core.topr\[12\],47.65µm
_3132_,47.6µm
_3254_,47.6µm
_4055_,47.6µm
_0477_,47.14µm
_0587_,47.09µm
_1545_,47.09µm
_1561_,47.04µm
_1621_,47.04µm
_1854_,47.04µm
_3327_,47.04µm
_1407_,46.63µm
_0180_,46.58µm
_0322_,46.58µm
_0429_,46.58µm
_4123_,46.58µm
u_sch.grp\[4\],46.58µm
_0304_,46.53µm
_1373_,46.48µm
u_core.im_d\[11\],46.39µm
_1436_,46.12µm
u_map.emit_counter\[0\],46.07µm
_1184_,45.97µm
_3054_,45.97µm
_3672_,45.97µm
_0856_,45.92µm
_1506_,45.92µm
_1926_,45.92µm
_3074_,45.92µm
_3763_,45.92µm
